timestamp,username,action,entity_type,entity_id,description
2025-06-11T16:45:03.918518,admin,logout,User,64918c34-662c-43ef-8467-5edcd2ca6abd,User logged out.
2025-06-11T16:45:10.438647,admin,login,User,dcd29fae-dc93-4c09-983d-6399d495216c,User logged in successfully.
2025-06-11T16:45:54.109831,admin,add,User,d61c1edd-ce76-448d-9a76-2ab54acbb974,"User ""creator"" added."
2025-06-11T16:46:39.816684,admin,add,User,89f2b78a-ac73-4e24-9071-38049557b8b8,"User ""creator1"" added."
2025-06-11T16:47:44.966388,admin,add,User,9daeb427-baa3-470d-997a-b9b3e091ad02,"User ""viewer"" added."
2025-06-11T16:48:19.081196,admin,add,User,f59f542d-07c4-4b31-8a7f-bcbbdec99aa7,"User ""approver"" added."
2025-06-11T16:48:27.084103,admin,logout,User,dcd29fae-dc93-4c09-983d-6399d495216c,User logged out.
2025-06-11T16:48:35.492090,creator,login,User,d61c1edd-ce76-448d-9a76-2ab54acbb974,User logged in successfully.
2025-06-11T16:48:55.675114,creator,created,policy,a3d27f36-7b5a-4649-a2a7-3c3a75047787,Policy 'Test Policy' created as draft.
2025-06-11T16:49:16.220281,creator,created,policy,3bcc73c0-ecd9-4a5c-b229-0a08c270648f,Policy 'Test Policy' created as draft.
2025-06-11T16:50:00.418501,creator,created,policy,cb386491-20f7-4e9d-860a-381c43f8e607,Policy 'Test Policy 2' created as draft.
2025-06-11T16:50:14.550168,creator,logout,User,d61c1edd-ce76-448d-9a76-2ab54acbb974,User logged out.
2025-06-11T16:50:21.681811,admin,login,User,dcd29fae-dc93-4c09-983d-6399d495216c,User logged in successfully.
2025-06-11T16:50:54.588145,admin,logout,User,dcd29fae-dc93-4c09-983d-6399d495216c,User logged out.
2025-06-11T16:51:02.622445,creator1,login,User,89f2b78a-ac73-4e24-9071-38049557b8b8,User logged in successfully.
2025-06-11T16:51:31.236527,creator1,created,policy,a51a2745-7883-4709-8fc9-e3328311fa2e,Policy 'Test Policy 3' created as draft.
2025-06-11T16:51:49.274496,creator1,created,policy,b39f272c-0389-478b-8727-27288e407eec,Policy 'Test Policy 4' created as draft.
